No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
44,Matthew Adams,27,LB,2,0,229,6-0,Houston,12/12/1995,4,,Indianapolis Colts / 7th / 221st pick / 2018
90,Angelo Blackson,30,DT,4,3,315,6-4,Auburn,11/14/1992,7,,Tennessee Titans / 4th / 100th pick / 2015
39,Josh Blackwell,23,CB,4,0,180,5-11,Duke,4/5/1999,Rook,,
35,Khari Blasingame,26,RB,4,0,233,6-0,Vanderbilt,7/1/1996,3,,
75,Larry Borom,23,OL,4,4,333,6-5,Missouri,3/30/1999,1,,Chicago Bears / 5th / 151st pick / 2021
9,Jaquan Brisker,23,S,4,4,200,6-1,"Lackawanna,Penn St.",4/20/1999,Rook,,Chicago Bears / 2nd / 48th pick / 2022
69,Ja'Tyre Carter,23,OL,0,0,275,6-5,Southern,1/15/1999,Rook,,Chicago Bears / 7th / 226th pick / 2022
29,Dane Cruikshank,27,CB,2,0,209,6-1,Arizona,4/27/1995,4,,Tennessee Titans / 5th / 152nd pick / 2018
25,Trestan Ebner,23,RB,4,0,215,5-11,Baylor,1/2/1999,Rook,,Chicago Bears / 6th / 203rd pick / 2022
1,Justin Fields,23,QB,4,4,228,6-3,"Georgia,Ohio St.",3/5/1999,1,,Chicago Bears / 1st / 11th pick / 2021
16,Trenton Gill,23,P,4,0,219,6-4,North Carolina St.,1/1/1999,Rook,,Chicago Bears / 7th / 255th pick / 2022
99,Trevis Gipson,25,DL,4,0,263,6-4,Tulsa,6/13/1997,2,,Chicago Bears / 5th / 155th pick / 2020
6,Kyler Gordon,23,DB,4,4,190,6-0,Washington,12/17/1999,Rook,,Chicago Bears / 2nd / 39th pick / 2022
84,Ryan Griffin,32,TE,2,0,255,6-6,Connecticut,1/11/1990,9,,Houston Texans / 6th / 201st pick / 2013
24,Khalil Herbert,24,RB,4,1,212,5-9,"Kansas,Virginia Tech",4/21/1998,1,,Chicago Bears / 6th / 217th pick / 2021
37,Elijah Hicks,23,S,2,0,20,5-11,California,10/16/1999,Rook,,Chicago Bears / 7th / 254th pick / 2022
36,DeAndre Houston-Carson,29,FS,4,0,202,6-0,William & Mary,4/13/1993,6,,Chicago Bears / 6th / 185th pick / 2016
4,Eddie Jackson,29,SS,4,4,206,6-0,Alabama,12/10/1993,5,,Chicago Bears / 4th / 112th pick / 2017
23,Lamar Jackson,24,DB,3,0,215,6-3,Nebraska,4/13/1998,2,,
76,Teven Jenkins,24,T,4,2,320,6-6,Oklahoma St.,3/3/1998,1,,Chicago Bears / 2nd / 39th pick / 2021
33,Jaylon Johnson,23,CB,2,2,196,6-0,Utah,4/19/1999,2,,Chicago Bears / 2nd / 50th pick / 2020
